iso_code,year,value,donor
ESP,2013,23.462458153993307,Spain
FRA,2019,1320.1680672268908,France
ITA,2020,241.0761293039907,Italy
CHE,2013,449.9850104926552,Switzerland
ITA,2012,249.3833400727861,Italy
SVN,2018,2.601677816714453,Slovenia
SWE,2020,165.2462645268401,Sweden
CZE,2012,10.760512936391368,Czech Republic
CHE,2015,525.7924767540152,Switzerland
NOR,2012,184.89443221651584,Norway
PRT,2012,0.8824154794811822,Portugal
NLD,2016,519.3942296181012,Netherlands
JPN,2021,0.27,Japan
ITA,2013,390.5554480356106,Italy
IRL,2016,1.18572695035461,Ireland
BEL,2012,134.54953991012198,Belgium
GBR,2015,405.0305984856343,United Kingdom
JPN,2019,0.3285870755750274,Japan
DEU,2019,3356.9501271701865,Germany
GRC,2018,28.548057259713705,Greece
CZE,2019,7.067669172932331,Czech Republic
IRL,2013,0.03986446083316723,Ireland
PRT,2018,10.002096875655273,Portugal
PRT,2014,0.9201840368073615,Portugal
PRT,2013,1.5703644050734848,Portugal
ISL,2020,6.338263093517179,Iceland
USA,2020,1566.6493344425958,United States
DEU,2013,143.7344656172328,Germany
JPN,2012,0.5712109672505712,Japan
CAN,2018,575.7710253783999,Canada
PRT,2015,3.295028142589118,Portugal
CZE,2016,23.96859196167155,Czech Republic
FRA,2018,840.4025579201174,France
POL,2019,6.270840055932021,Poland
AUS,2013,312.6403212558182,Australia
NOR,2018,106.28004179728316,Norway
POL,2021,16.88,Poland
CAN,2014,218.81508442017997,Canada
GRC,2012,17.900295354873357,Greece
ISL,2018,10.752688172043012,Iceland
KOR,2019,1.4829617164493059,South Korea
SVK,2014,0.9703028521023228,Slovakia
CHE,2018,303.1307154384077,Switzerland
DNK,2019,59.41008144397975,Denmark
SWE,2014,1019.6611431763172,Sweden
FIN,2020,63.36317135549872,Finland
AUS,2012,132.52586206896552,Australia
JPN,2020,0.30932817786370226,Japan
BEL,2018,260.91132216412336,Belgium
NOR,2016,956.9685369063284,Norway
DNK,2021,51.59,Denmark
AUT,2011,42.76114844227245,Austria
CAN,2020,724.9511550396505,Canada
CAN,2021,463.6,Canada
GRC,2021,1.09,Greece
AUT,2018,65.34433513170423,Austria
CHE,2014,479.8034934497816,Switzerland
CZE,2011,12.151373768792121,Czech Republic
ISL,2015,5.848822800495662,Iceland
GBR,2014,214.70588235294116,United Kingdom
FRA,2020,1279.6528649100794,France
HUN,2014,10.807724252491695,Hungary
FIN,2013,20.83533173461231,Finland
GBR,2021,1234.74,United Kingdom
GBR,2020,870.4864864864865,United Kingdom
IRL,2020,38.90492885130954,Ireland
SVN,2017,1.0673328034517997,Slovenia
SWE,2016,919.0982322667264,Sweden
NOR,2015,523.7497171305725,Norway
AUT,2014,110.27604271609913,Austria
NZL,2019,18.328412446059506,New Zealand
USA,2014,1420.1801390947442,United States
HUN,2020,2.8334786399302527,Hungary
ESP,2017,239.6906077348066,Spain
SWE,2017,906.6892927523538,Sweden
ITA,2021,556.1,Italy
CAN,2012,252.77883156297418,Canada
DNK,2013,156.521991300145,Denmark
SVK,2016,1.8952854773750296,Slovakia
DNK,2017,129.27152317880797,Denmark
DEU,2018,4144.208948833226,Germany
ISL,2019,8.244100218317913,Iceland
PRT,2019,8.343291689299294,Portugal
ITA,2017,1981.5026362038664,Italy
GRC,2014,19.216535788428555,Greece
AUT,2017,172.82669974066974,Austria
NLD,2019,546.3870753568661,Netherlands
IRL,2017,43.94773782528885,Ireland
NZL,2021,8.91,New Zealand
NLD,2015,1589.782947595635,Netherlands
BEL,2021,250.71,Belgium
DNK,2014,245.26225114854518,Denmark
USA,2015,1357.100925716866,United States
POL,2020,7.06265085528387,Poland
IRL,2012,0.13478486262312078,Ireland
PRT,2020,10.206217942007745,Portugal
CZE,2020,6.179901301031853,Czech Republic
USA,2019,1978.4045464112821,United States
SVN,2019,2.4539877300613497,Slovenia
NZL,2020,9.240849525530953,New Zealand
BEL,2019,152.4436090225564,Belgium
ESP,2011,31.993039018135185,Spain
CAN,2013,202.93128303700146,Canada
ESP,2012,22.535211267605632,Spain
NOR,2013,216.90317396544796,Norway
PRT,2021,9.31,Portugal
CHE,2016,752.251958224543,Switzerland
DEU,2017,6923.622857142857,Germany
BEL,2013,159.6399713613583,Belgium
SVN,2013,0.10011012113324658,Slovenia
SWE,2011,446.19947075463085,Sweden
IRL,2015,0.685461580983969,Ireland
JPN,2015,0.24548091943762554,Japan
LUX,2020,0.17370535229616763,Luxembourg
SVK,2021,1.06,Slovakia
FRA,2021,1151.39,France
CHE,2020,335.7595923884787,Switzerland
ISL,2012,0.2651816494298595,Iceland
IRL,2018,57.67341927562922,Ireland
NZL,2015,19.469440224377706,New Zealand
ISL,2021,8.76,Iceland
JPN,2014,0.5681818181818182,Japan
GBR,2018,553.5473731477324,United Kingdom
GBR,2019,700.7476420519899,United Kingdom
DEU,2011,88.08841588211216,Germany
GRC,2015,64.35300487276665,Greece
AUT,2019,33.73586562740147,Austria
SVN,2016,8.50164396430249,Slovenia
GBR,2017,583.4282325029656,United Kingdom
CAN,2011,321.44621816799696,Canada
CHE,2017,360.1026088854928,Switzerland
NZL,2011,15.046271094175287,New Zealand
FIN,2011,35.411930673115684,Finland
NZL,2013,19.85736118186449,New Zealand
CHE,2021,368.35,Switzerland
GRC,2016,160.1769911504425,Greece
CZE,2014,13.334102978526898,Czech Republic
USA,2021,1506.49,United States
KOR,2020,1.440285954583684,South Korea
ITA,2019,482.40971695043925,Italy
ITA,2014,805.929763960852,Italy
SVK,2018,0.8490059108006448,Slovakia
HUN,2021,1.38,Hungary
ISL,2011,0.21921892888945427,Iceland
ISL,2017,21.54594069032572,Iceland
ESP,2015,36.848111377382175,Spain
HUN,2019,1.1672302825351806,Hungary
ESP,2019,325.2657843349967,Spain
ITA,2011,497.7887444244092,Italy
LUX,2019,0.27656141968195436,Luxembourg
PRT,2016,5.00751705793917,Portugal
AUT,2015,517.2499116295511,Austria
JPN,2018,0.324774180452654,Japan
LUX,2012,0.03345227475468331,Luxembourg
NOR,2020,59.69754253308128,Norway
BEL,2014,189.23685010641532,Belgium
DNK,2012,144.13390972152408,Denmark
SVN,2021,2.33,Slovenia
AUT,2021,63.12,Austria
BEL,2020,143.97855227882036,Belgium
FRA,2016,529.952294411631,France
NLD,2011,478.1231380337636,Netherlands
FIN,2021,68.77,Finland
SVK,2017,1.5269804822043629,Slovakia
LUX,2013,0.3626762346981849,Luxembourg
USA,2018,1736.689876807713,United States
IRL,2011,0.274079874706343,Ireland
FRA,2011,513.6736039175064,France
SWE,2013,633.9656567472804,Sweden
ISL,2016,17.415917415917416,Iceland
GRC,2017,72.72630116490328,Greece
SWE,2015,2683.1392745185854,Sweden
NZL,2018,18.74792611436788,New Zealand
SWE,2021,87.91,Sweden
ITA,2016,1878.2314459733816,Italy
FIN,2014,15.820543093270365,Finland
CAN,2016,474.1680835559874,Canada
GBR,2013,52.30801076381701,United Kingdom
GRC,2020,85.6092884533447,Greece
DEU,2016,7787.4645222327335,Germany
USA,2013,1134.1463414634147,United States
ESP,2021,223.23,Spain
CHE,2012,661.2570735650769,Switzerland
SVN,2015,8.408124704770902,Slovenia
GRC,2019,144.5483870967742,Greece
CHE,2011,513.7749737118822,Switzerland
HUN,2015,11.736178467507273,Hungary
BEL,2017,358.5072595281307,Belgium
NZL,2014,19.515557306025993,New Zealand
AUT,2016,691.8871866295265,Austria
SVK,2015,2.0444131124427214,Slovakia
ESP,2018,287.23027207338686,Spain
IRL,2021,50.29,Ireland
JPN,2017,0.29899989689658724,Japan
CAN,2015,251.37495574176796,Canada
ESP,2014,17.678657074340528,Spain
SVK,2020,1.0289593720165482,Slovakia
USA,2012,982.7798132608439,United States
DEU,2015,3605.9730020308207,Germany
NZL,2012,20.513366705719463,New Zealand
DNK,2016,468.62901389205194,Denmark
CAN,2017,541.505276585875,Canada
SWE,2019,303.04673975764564,Sweden
PRT,2017,6.426016987036209,Portugal
NOR,2011,213.72310190824197,Norway
AUT,2013,65.06222359354108,Austria
HUN,2016,11.839884253677358,Hungary
GBR,2016,661.477298916801,United Kingdom
DEU,2020,2813.1308810949536,Germany
GRC,2011,20.957095709570957,Greece
NOR,2017,169.81645139360978,Norway
IRL,2014,0.3284235668789809,Ireland
POL,2016,6.793606017865539,Poland
CZE,2018,28.459173214895795,Czech Republic
AUS,2011,0.017185083347654236,Australia
NLD,2013,377.26996659580925,Netherlands
BEL,2015,272.89149419787054,Belgium
ISL,2013,0.39295221194067687,Iceland
CZE,2013,9.971345681767463,Czech Republic
POL,2015,10.471145175834083,Poland
FIN,2018,60.23051707729724,Finland
CZE,2021,6.3,Czech Republic
DEU,2021,2689.59,Germany
DEU,2012,82.82255425891591,Germany
NLD,2017,968.963117606124,Netherlands
POL,2017,6.568616609532235,Poland
SVK,2019,0.9617510501879284,Slovakia
SVN,2020,2.859876674463109,Slovenia
FRA,2014,466.94580806622395,France
SVN,2014,0.07978458162960009,Slovenia
ITA,2015,1117.8417102569933,Italy
JPN,2013,0.5887850467289719,Japan
PRT,2011,0.36221243269701414,Portugal
NLD,2020,596.8012752391074,Netherlands
SWE,2018,570.6905927134312,Sweden
AUT,2020,32.53558249868213,Austria
FRA,2013,438.05746348070033,France
ESP,2020,205.12225969645868,Spain
NOR,2021,52.25,Norway
FRA,2012,510.51359516616316,France
NOR,2014,239.41762583748496,Norway
HUN,2017,3.7791355510296447,Hungary
DNK,2015,452.8002737538497,Denmark
GBR,2011,32.819544930271576,United Kingdom
NLD,2018,620.8910034602076,Netherlands
JPN,2011,0.5359299516908212,Japan
FRA,2017,690.2228134353177,France
CAN,2019,545.3701581480632,Canada
HUN,2018,3.8792645339568494,Hungary
CHE,2019,310.50903119868633,Switzerland
NZL,2016,19.28735632183908,New Zealand
NOR,2019,67.60531395480868,Norway
USA,2011,880.8715541109908,United States
JPN,2016,0.23980815347721823,Japan
ITA,2018,1167.5594311221844,Italy
USA,2016,1902.1012629931822,United States
USA,2017,1597.2907754743883,United States
KOR,2018,1.8018905080740448,South Korea
KOR,2021,0.53,South Korea
FIN,2012,24.158463004128297,Finland
NLD,2014,945.2101859337107,Netherlands
SVK,2013,0.9385081630657932,Slovakia
GBR,2012,46.94090624347463,United Kingdom
DEU,2014,174.323499491353,Germany
NLD,2012,359.12316001270784,Netherlands
ISL,2014,2.964771538193233,Iceland
GRC,2013,18.894294559929232,Greece
NLD,2021,410.39,Netherlands
CZE,2015,19.108884073672805,Czech Republic
DNK,2011,115.49352134146342,Denmark
FIN,2015,45.20611394163964,Finland
DNK,2018,70.49748110831234,Denmark
BEL,2016,442.74108089014476,Belgium
FIN,2017,87.44212309429702,Finland
SVN,2012,0.27316663164530364,Slovenia
NZL,2017,18.975476839237057,New Zealand
IRL,2019,86.54782879054825,Ireland
DNK,2020,60.540198354083145,Denmark
FIN,2016,151.102599814299,Finland
POL,2018,6.525370641052412,Poland
FRA,2015,413.6027319294252,France
AUT,2012,62.161286840116595,Austria
CZE,2017,27.312719959778786,Czech Republic
SWE,2012,538.2533245307932,Sweden
ESP,2016,101.02681118083285,Spain
FIN,2019,98.42891672159965,Finland
BEL,2011,127.90439693424769,Belgium
,2011,4389.63616909491,"DAC Countries, Total"
,2012,4440.145690564883,"DAC Countries, Total"
,2013,4830.7353796654725,"DAC Countries, Total"
,2014,6631.972538641526,"DAC Countries, Total"
,2015,13944.050229135488,"DAC Countries, Total"
,2016,18492.806886231134,"DAC Countries, Total"
,2017,15915.057534069247,"DAC Countries, Total"
,2018,11533.550838676883,"DAC Countries, Total"
,2019,10566.904284121747,"DAC Countries, Total"
,2020,9331.179024341985,"DAC Countries, Total"
,2021,9285.34,"DAC Countries, Total"
