year,donor,idrc,iso_code,donor_name,oda,share
2019,France,1435.745586978674,FRA,France,13280.435019032084,10.81
2020,Italy,255.10701513649812,ITA,Italy,4495.640211640212,5.67
2018,Slovenia,2.7754190491939976,SVN,Slovenia,89.08683592916579,3.12
2020,Sweden,174.86377198607417,SWE,Sweden,6718.116402116402,2.6
2015,Switzerland,591.3095779959685,CHE,Switzerland,3969.107062528115,14.9
2016,Netherlands,588.4820186019729,NLD,Netherlands,5626.8524813052345,10.46
2021,Japan,0.27,JPN,Japan,17618.9,0.0
2016,Ireland,1.3434477117092793,IRL,Ireland,909.3473827328348,0.15
2015,United Kingdom,455.4999982969347,GBR,United Kingdom,20864.653621232566,2.18
2019,Japan,0.35735407892879545,JPN,Japan,16952.343665035347,0.0
2019,Germany,3650.842987678289,DEU,Germany,26316.15008156607,13.87
2018,Greece,30.45450955804748,GRC,Greece,309.8357158096864,9.83
2019,Czech Republic,7.6864265067235795,CZE,Czech Republic,336.26971179989124,2.29
2018,Portugal,10.670041471789283,PRT,Portugal,438.9054832515469,2.43
2014,Portugal,0.9325874498909107,PRT,Portugal,436.0291882031012,0.21
2020,Iceland,6.707156712716592,ISL,Iceland,61.26984126984127,10.95
2020,United States,1657.8299835371386,USA,United States,37646.88888888889,4.4
2018,Canada,614.2212773398762,CAN,Canada,4991.316407083423,12.31
2015,Portugal,3.7056096970188013,PRT,Portugal,346.4125056230319,1.07
2016,Czech Republic,27.156800319138394,CZE,Czech Republic,294.8561069567188,9.21
2018,France,896.5250244507333,FRA,France,12946.628973757202,6.92
2019,Poland,6.8198369286917035,POL,Poland,844.5459488852637,0.81
2018,Norway,113.37747151406354,NOR,Norway,4541.945807552806,2.5
2021,Poland,16.88,POL,Poland,952.33,1.77
2014,Canada,221.76455297474408,CAN,Canada,4297.192662410053,5.16
2018,Iceland,11.470757597656297,ISL,Iceland,79.16577768295285,14.49
2019,South Korea,1.6127914262635195,KOR,Korea,2678.825448613377,0.06
2014,Slovakia,0.9833818304472715,SVK,Slovak Republic,84.33161041856694,1.17
2018,Switzerland,323.37392301942367,CHE,Switzerland,3307.8088329421807,9.78
2019,Denmark,64.61129031427923,DNK,Denmark,2777.150625339859,2.33
2014,Sweden,1033.405435468042,SWE,Sweden,6316.732542819499,16.36
2020,Finland,67.05097497936373,FIN,Finland,1352.5608465608468,4.96
2020,Japan,0.32733140514677483,JPN,Japan,17206.61375661376,0.0
2018,Belgium,278.33509938566607,BEL,Belgium,2465.9590356304675,11.29
2016,Norway,1084.260748817503,NOR,Norway,4962.701110355767,21.85
2021,Denmark,51.59,DNK,Denmark,2874.47,1.79
2020,Canada,767.1440794070377,CAN,Canada,5345.68253968254,14.35
2021,Canada,463.6,CAN,Canada,6270.58,7.39
2021,Greece,1.09,GRC,Greece,263.83,0.41
2018,Austria,69.70805966684898,AUT,Austria,1246.564966929806,5.59
2014,Switzerland,486.2708963715229,CHE,Switzerland,3569.413195500152,13.62
2015,Iceland,6.577623482338801,ISL,Iceland,44.8268106162843,14.67
2014,United Kingdom,217.59996184548615,GBR,United Kingdom,19522.864092429307,1.11
2020,France,1354.130015777862,FRA,France,14946.772486772488,9.06
2014,Hungary,10.953404532777638,HUN,Hungary,145.97141988446336,7.5
2021,United Kingdom,1234.74,GBR,United Kingdom,15813.57,7.81
2020,United Kingdom,921.1497211497211,GBR,United Kingdom,19648.878306878305,4.69
2020,Ireland,41.16923687969264,IRL,Ireland,1045.2804232804233,3.94
2017,Slovenia,1.1888313694049897,SVN,Slovenia,84.4174649142348,1.41
2016,Sweden,1041.353084371999,SWE,Sweden,5544.686154543394,18.78
2015,Norway,589.012277474778,NOR,Norway,4810.683760683761,12.24
2014,Austria,111.76248374997378,AUT,Austria,1251.1604337691294,8.93
2019,New Zealand,19.933020604741166,NZL,New Zealand,603.3278955954323,3.3
2014,United States,1439.3231368143754,USA,United States,33541.60332421202,4.29
2020,Hungary,2.9983900951642886,HUN,Hungary,442.20105820105823,0.68
2017,Spain,266.9755042713373,ESP,Spain,2851.7487190911115,9.36
2017,Sweden,1009.9011948678478,SWE,Sweden,6196.535976832256,16.3
2021,Italy,556.1,ITA,Italy,6016.81,9.24
2016,Slovakia,2.1473889387888394,SVK,Slovak Republic,120.11103557670519,1.79
2017,Denmark,143.98699396169297,DNK,Denmark,2726.6874582312316,5.28
2018,Germany,4420.961114607666,DEU,Germany,26644.59142308513,16.59
2019,Iceland,8.96585124341263,ISL,Iceland,66.79717237629147,13.42
2019,Portugal,9.073726687655567,PRT,Portugal,446.4056552474171,2.03
2017,Italy,2207.064642686418,ITA,Italy,6524.87190911116,33.83
2014,Greece,19.475560746355075,GRC,Greece,250.77531164487687,7.77
2017,Austria,192.5002224779124,AUT,Austria,1393.7068389396302,13.81
2019,Netherlands,594.2219416605396,NLD,Netherlands,5755.301794453508,10.32
2017,Ireland,48.95047652627405,IRL,Ireland,933.4261528179995,5.24
2021,New Zealand,8.91,NZL,New Zealand,681.0,1.31
2015,Netherlands,1787.8800580247807,NLD,Netherlands,6438.945119208277,27.77
2021,Belgium,250.71,BEL,Belgium,2571.4,9.75
2014,Denmark,248.56820831919043,DNK,Denmark,3043.7519002736394,8.17
2015,United States,1526.2043699020085,USA,United States,34846.536212325685,4.38
2020,Poland,7.473704608766001,POL,Poland,877.5132275132275,0.85
2020,Portugal,10.800230626463222,PRT,Portugal,437.02645502645504,2.47
2020,Czech Republic,6.539578096330003,CZE,Czech Republic,316.55026455026456,2.07
2019,United States,2151.609077119393,USA,United States,36424.51332245785,5.91
2019,Slovenia,2.6688284176849915,SVN,Slovenia,95.42142468733007,2.8
2020,New Zealand,9.778676746593602,NZL,New Zealand,560.5714285714286,1.74
2019,Belgium,165.7896781104474,BEL,Belgium,2364.9483414899405,7.01
2021,Portugal,9.31,PRT,Portugal,449.66,2.07
2016,Switzerland,852.3135715211229,CHE,Switzerland,4058.9961477452975,21.0
2017,Germany,7711.765267479235,DEU,Germany,27851.481398975273,27.69
2015,Ireland,0.7708744725415756,IRL,Ireland,807.8272604588394,0.1
2015,Japan,0.27606941007380287,JPN,Japan,10349.347728295095,0.0
2020,Luxembourg,0.1838151876149922,LUX,Luxembourg,478.6666666666667,0.04
2021,Slovakia,1.06,SVK,Slovak Republic,150.71,0.7
2021,France,1151.39,FRA,France,15447.52,7.45
2020,Switzerland,355.30115596664416,CHE,Switzerland,3770.2222222222226,9.42
2018,Ireland,61.52487654750291,IRL,Ireland,996.6396415617667,6.17
2015,New Zealand,21.89545684253003,NZL,New Zealand,496.7836257309942,4.41
2021,Iceland,8.76,ISL,Iceland,71.92,12.18
2014,Japan,0.5758404967891134,JPN,Japan,9611.117867639607,0.01
2018,United Kingdom,590.5135194663244,GBR,United Kingdom,20706.44335395776,2.85
2019,United Kingdom,762.0964024491462,GBR,United Kingdom,21072.876563349644,3.62
2015,Greece,72.37180035173937,GRC,Greece,268.4435447593342,26.96
2019,Austria,36.689359029256636,AUT,Austria,1337.5530179445352,2.74
2016,Slovenia,9.632499393046102,SVN,Slovenia,92.1142080217539,10.46
2017,United Kingdom,649.8420945677941,GBR,United Kingdom,20164.17910447761,3.22
2017,Switzerland,401.0944630045587,CHE,Switzerland,3504.7894854087767,11.44
2021,Switzerland,368.35,CHE,Switzerland,3926.52,9.38
2016,Greece,181.4831080335854,GRC,Greece,417.5504192159528,43.46
2014,Czech Republic,13.51383701077014,CZE,Czech Republic,215.00962805310633,6.29
2021,United States,1506.49,USA,United States,42311.37,3.56
2020,South Korea,1.5241121212525757,KOR,Korea,2380.973544973545,0.06
2019,Italy,524.6435203376175,ITA,Italy,4797.531266992931,10.94
2014,Italy,816.7931123551758,ITA,Italy,4063.22083713388,20.1
2018,Slovakia,0.9057029131647588,SVK,Slovak Republic,146.9383400896096,0.62
2021,Hungary,1.38,HUN,Hungary,455.03,0.3
2017,Iceland,23.998597338299973,ISL,Iceland,76.04143461795499,31.56
2015,Spain,41.43962143205373,ESP,Spain,1570.782726045884,2.64
2019,Hungary,1.2694184693150414,HUN,Hungary,339.38009787928223,0.37
2019,Spain,353.7420166775385,ESP,Spain,3201.1963023382273,11.05
2019,Luxembourg,0.30077370275362075,LUX,Luxembourg,512.8548123980424,0.06
2016,Portugal,5.673597391728042,PRT,Portugal,388.70382959438024,1.46
2015,Austria,581.7025546891037,AUT,Austria,1488.4278002699054,39.08
2018,Japan,0.3464627485093386,JPN,Japan,15109.366332408792,0.0
2020,Norway,63.172002680509294,NOR,Norway,4439.883597883598,1.42
2014,Belgium,191.78762552590987,BEL,Belgium,2479.1628661193877,7.74
2021,Slovenia,2.33,SVN,Slovenia,114.81,2.03
2021,Austria,63.12,AUT,Austria,1459.8,4.32
2020,Belgium,152.3582563797041,BEL,Belgium,2479.978835978836,6.14
2016,France,600.4444758799353,FRA,France,10901.50691139814,5.51
2021,Finland,68.77,FIN,Finland,1435.82,4.79
2017,Slovakia,1.7008024974430416,SVK,Slovak Republic,132.76899086656272,1.28
2018,United States,1852.6668197223312,USA,United States,36432.95284830382,5.09
2016,Iceland,19.732514633942234,ISL,Iceland,66.53070473600725,29.66
2017,Greece,81.00501354968064,GRC,Greece,349.27600801960347,23.19
2015,Sweden,3017.475567384824,SWE,Sweden,7972.672064777328,37.85
2018,New Zealand,19.999921180251633,NZL,New Zealand,593.1619372733091,3.37
2021,Sweden,87.91,SWE,Sweden,5926.63,1.48
2016,Italy,2128.066446831386,ITA,Italy,5764.094720145026,36.92
2014,Finland,16.033792533972193,FIN,Finland,1656.6028174723826,0.97
2016,Canada,537.2400674778919,CAN,Canada,4453.251756174937,12.06
2020,Greece,90.591839633169,GRC,Greece,344.3809523809524,26.31
2016,Germany,8823.322594870533,DEU,Germany,28025.93473827328,31.48
2021,Spain,223.23,ESP,Spain,3541.94,6.3
2015,Slovenia,9.455830752104028,SVN,Slovenia,71.17633828160145,13.29
2019,Greece,157.20324860986864,GRC,Greece,399.9347471451876,39.31
2015,Hungary,13.198581272500308,HUN,Hungary,174.93252361673416,7.54
2017,Belgium,399.3175089420034,BEL,Belgium,2446.1684116729784,16.32
2014,New Zealand,19.77861285702442,NZL,New Zealand,512.9623999189216,3.86
2016,Austria,783.9193141055138,AUT,Austria,1853.025152957172,42.3
2015,Slovakia,2.299160045482143,SVK,Slovak Republic,95.49032838506523,2.41
2018,Spain,306.4116407866299,ESP,Spain,3083.3155536590575,9.94
2021,Ireland,50.29,IRL,Ireland,1168.8,4.3
2017,Japan,0.33303619614233365,JPN,Japan,12767.086210737358,0.0
2015,Canada,282.6978809511561,CAN,Canada,4810.200179937022,5.88
2014,Spain,17.916952543164616,ESP,Spain,1902.1283064761324,0.94
2020,Slovakia,1.0888458963138077,SVK,Slovak Republic,149.41798941798942,0.73
2015,Germany,4055.300272189407,DEU,Germany,20175.674763832656,20.1
2016,Denmark,530.9642124315114,DNK,Denmark,2684.3303874915023,19.78
2017,Canada,603.1468886008854,CAN,Canada,4794.932056137224,12.58
2019,Sweden,329.5777485129371,SWE,Sweden,5660.9461663947795,5.82
2017,Portugal,7.157515022317007,PRT,Portugal,424.0810871018044,1.69
2016,Hungary,13.414779349283206,HUN,Hungary,225.60616360752323,5.95
2016,United Kingdom,749.4644220675289,GBR,United Kingdom,20454.112848402445,3.66
2020,Germany,2976.8580752327553,DEU,Germany,30378.708994709,9.8
2017,Norway,189.14730607441498,NOR,Norway,4594.542214301626,4.12
2014,Ireland,0.33285047823956715,IRL,Ireland,826.7862572210398,0.04
2016,Poland,7.69726491940351,POL,Poland,751.1330160888284,1.02
2018,Czech Republic,30.35968979613377,CZE,Czech Republic,325.75208022189037,9.32
2015,Belgium,306.89551754146487,BEL,Belgium,2141.464237516869,14.33
2015,Poland,11.775916751950161,POL,Poland,495.8277103013945,2.38
2018,Finland,64.25273850789124,FIN,Finland,1049.711969276723,6.12
2021,Czech Republic,6.3,CZE,Czech Republic,361.74,1.74
2021,Germany,2689.59,DEU,Germany,32232.02,8.34
2017,Netherlands,1079.2638868413053,NLD,Netherlands,5522.88928491869,19.54
2017,Poland,7.316347304001153,POL,Poland,756.8055246157273,0.97
2019,Slovakia,1.0459500273930706,SVK,Slovak Republic,125.90538336052202,0.83
2020,Slovenia,3.026324523241385,SVN,Slovenia,96.01058201058201,3.15
2014,France,473.2398987191892,FRA,France,10763.474206952467,4.4
2014,Slovenia,0.08086001989419277,SVN,Slovenia,62.369514543427584,0.13
2015,Italy,1257.1319278643648,ITA,Italy,4502.215474583895,27.92
2020,Netherlands,631.5357409937645,NLD,Netherlands,5670.8359788359785,11.14
2018,Sweden,608.8015710619067,SWE,Sweden,6401.792191167058,9.51
2020,Austria,34.42918782929326,AUT,Austria,1347.4603174603174,2.56
2020,Spain,217.06059227138485,ESP,Spain,3160.888888888889,6.87
2021,Norway,52.25,NOR,Norway,4673.14,1.12
2014,Norway,242.64480170009622,NOR,Norway,5154.494780581736,4.71
2017,Hungary,4.209328971964407,HUN,Hungary,165.6048117620851,2.54
2015,Denmark,509.22208024499514,DNK,Denmark,2885.2564102564106,17.65
2018,Netherlands,662.3543881589584,NLD,Netherlands,6036.878600384042,10.97
2017,France,768.7935101752257,FRA,France,12620.69503230118,6.09
2019,Canada,593.1159958108354,CAN,Canada,5138.923327895595,11.54
2018,Hungary,4.138323590736985,HUN,Hungary,303.9684232984852,1.36
2019,Switzerland,337.69334551243765,CHE,Switzerland,3370.3860793909735,10.02
2016,New Zealand,21.852885023611012,NZL,New Zealand,506.28823929299796,4.32
2019,Norway,73.52399560066196,NOR,Norway,4674.094616639478,1.57
2016,Japan,0.27170649612193315,JPN,Japan,11802.401994108315,0.0
2018,Italy,1245.5295830191856,ITA,Italy,5536.153189673566,22.5
2016,United States,2155.111333552212,USA,United States,38999.524133242696,5.53
2017,United States,1779.1164796996975,USA,United States,38685.65382044999,4.6
2018,South Korea,1.9222215789140655,KOR,Korea,2515.7350117345854,0.08
2021,South Korea,0.53,KOR,Korea,2855.04,0.02
2014,Netherlands,957.9509333472289,NLD,Netherlands,5648.089591567853,16.96
2014,Germany,176.67325376644675,DEU,Germany,16789.500354717748,1.05
2014,Iceland,3.0047345071381706,ISL,Iceland,37.83318131144218,7.94
2021,Netherlands,410.39,NLD,Netherlands,5287.55,7.76
2015,Czech Republic,21.4899730922996,CZE,Czech Republic,223.79667116509222,9.6
2015,Finland,50.83908450476793,FIN,Finland,1448.493027440396,3.51
2018,Denmark,75.20533508460886,DNK,Denmark,2763.004053765735,2.72
2016,Belgium,501.6327678338373,BEL,Belgium,2606.118286879673,19.25
2017,Finland,97.39599364479507,FIN,Finland,1207.1619514368456,8.07
2017,New Zealand,21.135527778165578,NZL,New Zealand,500.9467587435954,4.22
2019,Ireland,94.12488177329881,IRL,Ireland,1058.6188145731376,8.89
2020,Denmark,64.06370196199275,DNK,Denmark,2805.862433862434,2.28
2016,Finland,171.20167665340924,FIN,Finland,1200.5551778835259,14.26
2018,Poland,6.961137871828901,POL,Poland,817.1965009601024,0.85
2015,France,465.14027432458977,FRA,France,10165.654520917678,4.58
2017,Czech Republic,30.421831097993746,CZE,Czech Republic,338.73914012029405,8.98
2016,Spain,114.46500247091869,ESP,Spain,4785.486063902107,2.39
2019,Finland,107.04613020293598,FIN,Finland,1229.7661772702556,8.7
